treatment,group,HS,vial,wet.mass,(Intercept),time,slope,adj.slope,mgO2hrg
BayFarm17,BayFarm17,noHS,5,767.2,97.3523273,-0.262318683,0.262318683,0.244441766,1.338184851
BayFarm17,BayFarm17,noHS,6,2673.7,68.00623786,-0.353162323,0.353162323,0.335285405,0.526685381
BayFarm17,BayFarm17,noHS,7,2667.6,82.27085189,-0.369889393,0.369889393,0.352012476,0.55422567
BayFarm17,BayFarm17,noHS,9,2713.5,77.32829266,-0.443024635,0.443024635,0.425147718,0.658050641
BayFarm17,BayFarm17,noHS,11,1687.7,83.93595997,-0.282336015,0.282336015,0.264459098,0.658131309
BayFarm17,BayFarm17,noHS,12,1498.7,78.9765876,-0.214206502,0.214206502,0.196329584,0.550199676
BayFarm17,BayFarm17,noHS,14,1499.3,100.6920038,-0.60980415,0.60980415,0.591927232,1.658170063
BayFarm17,BayFarm17,noHS,15,2385.5,93.51516039,-0.950506289,0.950506289,0.932629372,1.64202195
BayFarm17,BayFarm17,noHS,16,1279.9,83.13522752,-0.175388418,0.175388418,0.157511501,0.516874993
BayFarm17,BayFarm17,noHS,18,1741.8,69.1105247,-0.109641482,0.109641482,0.091764564,0.221271771
BayFarm17,BayFarm17,noHS,22,1615.5,78.52861698,-0.263338128,0.263338128,0.245461211,0.638153565
BayFarm17HS,BayFarm17,HS,1,2076.2,99.48581607,-0.261518893,0.261518893,0.243641975,0.492869808
BayFarm17HS,BayFarm17,HS,2,1074.4,96.62824222,-0.107879318,0.107879318,0.090002401,0.351833659
BayFarm17HS,BayFarm17,HS,4,2005.9,107.7499997,-0.324819294,0.324819294,0.306942377,0.642683076
BayFarm17HS,BayFarm17,HS,5,767.2,93.4629764,-0.050932915,0.050932915,0.033055997,0.180963489
BayFarm17HS,BayFarm17,HS,6,2673.7,79.26687721,0.015332963,0.015332963,-0.002543954,0
BayFarm17HS,BayFarm17,HS,7,2667.6,95.41181977,-0.222417198,0.222417198,0.20454028,0.322038228
BayFarm17HS,BayFarm17,HS,9,2713.5,89.27646626,-0.198137216,0.198137216,0.180260299,0.27900986
